,category,URL
0,Magazine Subscriptions,https://www.amazon.com/Best-Sellers-Magazines/zgbs/magazines/ref=zg_bs_unv_mag_1_602336_2
1,Entertainment,https://www.amazon.com/Best-Sellers-Magazines-Entertainment-Pop-Culture/zgbs/magazines/602328/ref=zg_bs_unv_mag_2_602336_1
2,Celebrities & Gossip,https://www.amazon.com/Best-Sellers-Magazines-Celebrities-Gossip/zgbs/magazines/13006671/ref=zg_bs_nav_mag_3_602336
3,Humor,https://www.amazon.com/Best-Sellers-Magazines-Humor/zgbs/magazines/13015581/ref=zg_bs_nav_mag_3_602336
4,Literary Magazines & Journals,https://www.amazon.com/Best-Sellers-Magazines-Literary-Journals/zgbs/magazines/602350/ref=zg_bs_nav_mag_3_602336
5,Movies,https://www.amazon.com/Best-Sellers-Magazines-Movie/zgbs/magazines/637722/ref=zg_bs_nav_mag_3_602336
6,Music,https://www.amazon.com/Best-Sellers-Magazines-Music/zgbs/magazines/602354/ref=zg_bs_nav_mag_3_602336
7,Performing Arts,https://www.amazon.com/Best-Sellers-Magazines-Performing-Arts/zgbs/magazines/252607011/ref=zg_bs_nav_mag_3_602336
8,Sci-Fi & Fantasy,https://www.amazon.com/Best-Sellers-Magazines-Literary-Sci-Fi-Mystery/zgbs/magazines/254618011/ref=zg_bs_nav_mag_3_602336
9,Television,https://www.amazon.com/Best-Sellers-Magazines-Television/zgbs/magazines/13006651/ref=zg_bs_nav_mag_3_602336
10,Video Games,https://www.amazon.com/Best-Sellers-Magazines-Video-Games/zgbs/magazines/252650011/ref=zg_bs_nav_mag_3_602336
